Headline,Body ID,Stance
"Jess Smith, 19, Claims She Was Teletubbies' Giggling Baby: What Did She Get Paid?",858,unrelated
ISIL allegedly kills US journalist in video,2526,unrelated
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,2028,unrelated
"No, Pumpkin Spice Condoms Are Not A Real Thing",1950,unrelated
That powerful Lego letter to parents from the 1970s? It's real,1385,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,845,unrelated
"Apple Watch pricing: Will you spend $5000 for Gold edition, $500 for stainless steel?",382,unrelated
What Glenn Beck Fears May Be Done With the 11 Missing Jets,614,unrelated
Kurds fear Isis use of chemical weapon in Kobani,829,unrelated
Boston.com pulls story accusing prof of sending ‘racist’ emails,1863,discuss
Media outlets identify 'Jihadi John',1295,unrelated
Audio recording allegedly captures at least 10 shots fired in Michael Brown killing,2287,discuss
Islamic State claims to have beheaded American journalist,1093,discuss
New ISIS Video Shows Militants Seizing Weapons Airdropped By US Near Kobani,693,unrelated
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2192,unrelated
Vigilantes cut off alleged rapist's penis,86,agree
Obama: murder of James Foley 'shocks the conscience of the entire world',2296,unrelated
Crank-Boosting Behind Top Apps in App Store,1132,discuss
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,2463,discuss
"'Star Wars VII' News, Update: JJ Abrams Pushing for Summer Release?",2141,unrelated
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,2471,discuss
Seth Rogen set to play Steve Wozniak in Danny Boyle's Steve Jobs biopic,2410,unrelated
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,737,unrelated
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',2037,agree
Tropical spider burrows under man's skin through scar,1375,unrelated
Now THAT'S a Royal trip! Alan Titchmarsh finds psychedelic mushroom in the Queen's garden at Buckingham Palace,1647,agree
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,2035,unrelated
NBC weatherman caught urinating in the woods live on air,467,unrelated
WHO ‘probing’ whether ISIS fighters got Ebola,2060,discuss
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,913,unrelated
The baby from Teletubbies reveals herself,414,unrelated
"Prankster Gives Homeless Man $100, Secretly Follows Him And Learns He Buys Food For Others",941,unrelated
SHOCKING: Indian Man's Penis Cut-off After He Was Caught Attempting Rape [Photos],368,unrelated
More American Weapons for ISIS,1597,agree
Report: Amazon to Launch Ad-Supported Streaming Service,388,unrelated
Vice CEO Throws Down $300K on Lavish Vegas Dinner,2463,unrelated
"Man cuts off manhood, throws it in the bin, after girlfriend leaves over small penis",1434,discuss
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,1358,unrelated
Small Meteorite Hits Managua,2129,unrelated
This Is What It Looks Like When A Son Pays Off His Parents’ Mortgage As A Christmas Present,81,unrelated
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,1574,unrelated
Who Should Play Steve Jobs Now That Christian Bale Quit?,630,unrelated
Kim Jong-un 'so fat he has fractured his ankles',1634,unrelated
Missing Libyan jetliners raise fears of terror attacks on 9/11,1699,unrelated
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",1645,unrelated
Pentagon: Airstrike killed terror leader in Somalia,1176,discuss
Paul Revere's 1795 time capsule unearthed,1545,unrelated
"Unconfirmed: ISIS Claims Kayla Mueller, American Female Hostage, Is Dead",1423,unrelated
This Powerful Cartoon About The Charlie Hebdo Attack Is Not By Banksy,428,unrelated
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",1940,unrelated
DNA Tests Confirm Lebanon Is Holding ISIS Leader’s Child,404,unrelated
"Tim Cook Reportedly Showers with Apple Watch, Suggesting It’s Waterproof",1347,discuss
Nigeria says it has deal with Boko Haram to release kidnapped girls,2045,unrelated
Al Qaida hostage killed in raid,224,unrelated
Iraqi social-media rumors claim IS leader slain,1253,unrelated
YPG Confirms: Gill Rosenberg Not Captured in Kobani,693,unrelated
Holy Theft! Batmobile Stolen from 'Batman v Superman'???,692,unrelated
Ottawa Gunman Identified As Michael Zehaf-Bibeau,2246,agree
Spurned wife leaves cheating husband and twin naked in busy car park,374,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",1948,discuss
"Audio captured at time of Michael Brown shooting, company says",2250,discuss
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,298,unrelated
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",304,unrelated
Brian Williams Insists NBC News Meteorologist Did Not Pee in the Snow While on Air,2419,unrelated
British Aid Worker Confirmed Murdered By ISIS,1360,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,1048,unrelated
Jihadi John unmasked: Former Westminster University student was arrested FIVE years ago and put on a terror watch list - but he flew to Syria to join ISIS two years later,2102,unrelated
Chinese advised to choose British-sounding names to get ahead,1913,unrelated
Missing Libyan jetliners raise fears of terror attacks on 9/11,1489,unrelated
CNN Airs Alleged Audio from Michael Brown Shooting,456,unrelated
"Sorry, Everyone: Durex Is Unfortunately Not Making Pumpkin Spice Condoms",1939,unrelated
Isis Syria News: Iraqi Pilots 'Training Isis Fighters' to Fly Captured Planes,2068,discuss
ISIS cracks down on five confirmed Ebola cases among fighters: official,2367,unrelated
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1000,unrelated
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2230,unrelated
Ottawa investigates reports that Isis has captured Canadian-Israeli woman,2411,unrelated
"Boko Haram agrees to ceasefire, release of school girls",459,unrelated
"At CBS Detroit, Fan Site 'Scuttlebutt' Is Enough to Publish Batmobile Rumor",2062,discuss
Is Kim Jong Un's sister Kim Yo Jong in charge?,17,unrelated
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1498,unrelated
Apple 'working on 12-inch MacBook Air',1049,unrelated
Apple may launch 12-inch MacBook Air with Retina Display,879,unrelated
"No, Banksy hasn’t been arrested",30,unrelated
"Christian Bale in talks to play Steve Jobs for Sony, Danny Boyle",286,unrelated
Christian Bale Won't Play Steve Jobs After All,1406,unrelated
Mexico prosecutor: Students not in 1st mass graves,2360,unrelated
Nasa questions whether crater in Nicaragua caused by meteorite,971,unrelated
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,2017,discuss
Photo gallery: Amazing £300 operation by North Walsham vet on constipated goldfish,924,unrelated
"Meet Magneto Boy, the kid who attracts metal with his body",1637,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,1786,unrelated
Israeli-Canadian Woman 'Captured' By ISIS Says She Is 'Safe And Secure',2067,unrelated
Judd Nelson Death Hoax: FOX News Impersonator Claims Actor Found Dead In Los Angeles Condo,2286,agree
Islamic State claims it executed American photojournalist James Foley,11,unrelated
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,2434,unrelated
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',456,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,2360,unrelated
REPORT: JETLINERS STOLEN FROM LIBYA COULD BE USED TO ATTACK U.S. ON 9/11,1073,unrelated
Accountant Says Comcast Got Him Fired for Contesting Bogus Charges,2058,discuss
Tiger Woods' luxe Viking island in Sweden is for sale,2444,agree
Texas City plumber's truck ends up in Syrian war,684,unrelated
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,2263,agree
Amazon.com to open first physical store in Manhattan: DJ,703,unrelated
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,26,unrelated
CNN plays chilling audio recording allegedly from Michael Brown shooting: “At least 11 shots”,346,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",1040,unrelated
Wife and son of Islamic State leader Abu Bakr al-Baghdadi detained in Lebanon,1898,unrelated
Batman Set To Play Steve Jobs In Upcoming Biopic,1897,unrelated
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,2286,unrelated
Meet The College Student Who Claims She Was The ‘Teletubbies’ Sun Baby,2371,discuss
Rep. Duncan Hunter: 'At Least 10' ISIS Fighters Caught at Mexican Border,186,unrelated
Nicaraguan commission on possible meteorite crash presents rock samples,220,unrelated
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",1120,unrelated
Boko Haram Denies Nigeria Cease-Fire Claim,320,unrelated
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",2130,unrelated
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,5,unrelated
"Woman detained in Lebanon is not Isis leader’s wife, says Iraq",170,unrelated
7 Bosnian teens get pregnant on school trip,169,unrelated
Amazon plans a streaming-video alternative,788,unrelated
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,1905,unrelated
Watch: US marine survives Taliban sniper headshot in Afghanistan,709,unrelated
"Eyewitness: Viral Video That Netted $130K in Donations ""is Bullshit""",1948,unrelated
Bali spider burrows under Aussie’s chest,730,unrelated
Nigeria Says Boko Haram Cease-Fire May Lead to Release of Kidnapped Girls,1003,unrelated
"Boko Haram leader denies ceasefire deal, says 200 abducted girls married off ",992,unrelated
Vogue’s Shiny New Office Has a Big Rat Problem,1737,unrelated
"Analyst: Apple Watch Edition Could Cost $5,000",147,unrelated
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,1797,discuss
Breaking: Soldier shot at National War Memorial in Ottawa,595,unrelated
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",2003,unrelated
Apple-HBO Deal Seen Launching Web-only Apple TV Streaming Service For $15 Per Month,1679,unrelated
"Ann Arbor pizza delivery driver surprised with $2,000 tip",355,agree
ISIS executioner 'Jihadi John' named by media,472,unrelated
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1547,unrelated
Dog Found Abandoned With Suitcase Filled With His Belongings,2123,unrelated
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,720,unrelated
Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax,2502,agree
Who Should Play Steve Jobs Now That Christian Bale Quit?,1131,discuss
Fisherman lands 19 STONE catfish which could be biggest in world to be hooked,1183,unrelated
Second person rushed to hospital with Ebola symptoms after contact with 'patient zero' Thomas Duncan,1933,unrelated
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1506,discuss
"Boko Haram Denies Ceasefire, Says Kidnapped Girls Are Now Married",2144,discuss
Batmobile Stolen From 'Batman V Superman: Dawn Of Justice' Set? Report Claims That One Of The Batmobile Models Is Missing! Detroit Locals Responsible?,917,discuss
American hostage killed in rescue attempt in Yemen - senior official,1429,unrelated
Meet The College Student Who Claims She Was The ‘Teletubbies’ Sun Baby,1331,unrelated
"Vogue's Anna Wintour Pissed Off With New 1 World Trade Center Offices, Infested With Rats",639,unrelated
Lebanon 'holding IS leader's daughter and ex-wife',1737,unrelated
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1732,discuss
Continuing Violence Puts Boko Haram Ceasefire In Jeopardy,800,unrelated
Mohammed Emwazi: Man identified as Isis killer 'Jihadi John' was 'stopped by MI5' while on safari holiday in Africa in 2010,1724,discuss
"Apple's New MacBook Will Be A Thinner, Cleaner, Faster 12-Inch MacBook Air",727,unrelated
Officials shoot down congressman's claims ISIS terrorists are running across US-Mexico border,213,unrelated
Teacher sex tape exposed as a FAKE after internet detectives trace the origin of pornographic clip,1357,unrelated
Isis claims to behead US journalist,1251,unrelated
Pants on Fire: Duncan Hunter makes unconfirmed claim Border Patrol caught at least 10 ISIS fighters,2296,unrelated
Batmobile Rumored To Have Been Stolen From Batman V. Superman: Dawn Of Justice Set,1807,unrelated
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",2388,discuss
Amazon to Open First Brick-and-Mortar Site,428,unrelated
ISIS fighters ‘have contracted Ebola’,1291,unrelated
Media reports identify Londoner as Islamic State's ‘Jihadi John’,2033,unrelated
"Led Zeppelin Reunion: Robert Plant Rips Up $300 Million Contract, Refuses To Rejoin Legendary Band",1787,unrelated
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,213,unrelated
Guantanamo detainee who was swapped in prisoner deal for Bowe Bergdahl 'tried to rejoin 'Al Qaeda',2236,discuss
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,125,unrelated
Video shows ISIL beheading of photojournalist James Foley,1295,unrelated
Detroit Police Issue Statement That The Batmobile Is Safe,1528,agree
The Unluckiest Man In The World Set His College On Fire With A Fireworks Marriage Proposal,669,discuss
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2476,unrelated
"Predator Drone Reportedly Sighted Circling Raqqa, Syria",35,unrelated
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,1744,unrelated
Macaulay Culkin Dead: Actor Once Again Victim Of Death Hoax,1293,unrelated
U.S. airstrike kills Islamic Al Shabab terrorist leader in Somalia,1869,unrelated
Nigeria says ceasefire agreed with Boko Haram,955,discuss
Nun gives birth to surprise baby after complaining of stomach pains,433,discuss
Homeland Security: No ISIL fighters on U.S. border,1931,disagree
Hundreds of Palestinians flee as Israel opens dams into Gaza Valley,1803,agree
ISIS executioner 'Jihadi John' identified as Mohammed Emwazi,562,unrelated
Has a woman aborted her baby because it's a boy?,2014,discuss
"No, there aren’t any Ebola cases in Iraq",688,discuss
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",630,unrelated
Govt fires employee who skipped work for 24 years,217,unrelated
Homeless man who received a meal and hotel stay after spending $100 donation on food for friends insists it was NOT a hoax – despite new witness insisting there was no way he could have been secretly filmed,1971,discuss
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,1498,unrelated
Weather Channel’s Mike Seidel was not caught with his pants down,1829,disagree
Macaulay Culkin Dead? Another Death Hoax Circulates On Facebook,1559,agree
The “Flood Libel” Propagandists of 2015,1967,discuss
ISIS fighters seize weapons airdrop meant for Kurds,1010,discuss
Watch: US Marine saved by helmet after being shot by Taliban sniper,1481,agree
Anna Wintour 'refuses to work at new World Trade Center Vogue office due to rat infestation',1619,discuss
The Story Of The High School Trader Who Made $72 Million Is A Rumor Spun Out Of Control,1987,discuss
Wife Of ISIS Leader Abu Bakr al-Baghdadi Detained In Lebanon,1267,discuss
Chinese parents try to SELL their son to pay for medical treatment for his sick twin sister,694,unrelated
Apple Watch Smartwatch to Ship 15 Million Units Worldwide in 2015,1556,unrelated
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",903,discuss
Michael Brown shooting audio caught on tape?,2434,discuss
James Foley remembered as 'brave and tireless' journalist,2047,discuss
Has Ebola infected Isis militants in Mosul?,1631,unrelated
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,2336,unrelated
‘The cub of Baghdadi': ISIS reports its youngest jihadist ‘got martyred’ in battle,1179,discuss
This Kid Made $72 Million During Lunch,1693,unrelated
Christian Bale Pulls Out of Upcoming Steve Jobs Biopic,2097,unrelated
Boko Haram denies it has agreed ceasefire,40,unrelated
Seth Rogen to play Woz in Jobs biopic,1560,unrelated
Amazon is about to open its first-ever physical store in New York City,428,unrelated
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',472,unrelated
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,1572,unrelated
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,1854,unrelated
Isis claims to behead US journalist,1627,unrelated
Man who SLAPS people if they sneeze in public being hunted by police,1210,unrelated
"Tim Cook Reportedly Showers with Apple Watch, Suggesting It’s Waterproof",714,unrelated
"Sons of Anarchy Movie? No, Kurt Sutter Announces Charlie Hunnam, Brad Pitt Film Article is Fake",1837,unrelated
Is Kim Jong Un's sister Kim Yo Jong in charge?,1029,unrelated
HBO in talks with Apple to be launch partner for coming web service 'HBO Now',227,unrelated
400 men cut their testicles off believing it would help them meet God,648,unrelated
Tropical spider burrows under man's skin through scar,2293,discuss
Islamic State claims it executed American photojournalist James Foley,826,unrelated
ISIS fighters seize weapons airdrop meant for Kurds,1648,unrelated
Police find mass graves with at least '15 bodies' near Mexico town where 43 students disappeared after police clash,61,unrelated
Vogue’s Shiny New Office Has a Big Rat Problem,964,unrelated
"Don't forget to tip...especially if you spend $300,000",137,unrelated
Video messaging service verifies timing of CNN audio recording,908,unrelated
"Op-Ed: Hoax – Priest who never existed claims he died, saw female God",1212,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,2475,disagree
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,402,unrelated
"Fidel Castro Is Dead, According to Viral Twitter Rumors",1372,unrelated
"No, a bird didn't poop on Vladimir Putin",2174,disagree
Someone Trolled Twitter Into Thinking Macklemore Joined ISIS,972,unrelated
Pentagon: ISIS seized materials airdropped to Kurds,2141,unrelated
Texas plumber's truck on front line of Syria war,2520,unrelated
Islamic State 'training pilots to fly fighter jets',487,unrelated
Seth Rogen to Play Apple’s Steve Wozniak,851,discuss
Questions raised over Nicaragua 'meteorite',966,discuss
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,2307,unrelated
Report: Nearly a Dozen Commercial Airliners Missing Ahead of 9/11 Anniversary After Islamists Overrun Libyan Airport,1588,unrelated
"Obama, Outraged Over Beheading, Vows to Stay on Course",1166,unrelated
"If you really believed Colorado KFCs were selling pot, here’s a reality check",487,unrelated
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,874,unrelated
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,1569,unrelated
Woman Stays In KFC For A Week To Get Over Her Break-Up,1791,unrelated
An Audio Recording of the Michael Brown Shooting Has Reportedly Surfaced,844,unrelated
Samsung is reportedly making a secret new chip in the Apple Watch,1835,unrelated
WHO investigates media reports ISIS fighters contracted Ebola,1004,unrelated
Pumpkin Spice condoms? Don't fall for this hoax.,788,unrelated
Oscar winner Christian Bale to play Steve Jobs in upcoming biopic,35,unrelated
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),2175,unrelated
Nun who gave birth ‘had no idea’ she was pregnant,1891,unrelated
Boko Haram denies truce to release kidnapped schoolgirls,2403,discuss
Experts: More facts needed on purported audio recording of Michael Brown shooting,2020,unrelated
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,2299,unrelated
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,139,unrelated
"Paradise is open to all, even dogs, Pope tells boy",686,unrelated
#RIPFidel fuels false rumors of Cuban leader's death after another Fidel Castro dies,545,unrelated
MACAULAY CULKIN IS THE LATEST VICTIM OF A CELEBRITY DEATH HOAX — AND THESE 9 STARS KNOW EXACTLY HOW HE FEELS!,690,unrelated
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",1817,unrelated
"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",568,unrelated
Now the Vogue Rats Are Chewing Through Couture,1968,unrelated
Speeding Up ‘Seinfeld’ For Younger Viewers,1221,agree
"McDonald’s Removing Big Mac, Apple Pies And Eliminating Large Size Options",1648,unrelated
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,2261,discuss
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,1258,unrelated
US officials: Video shows American's execution,1720,unrelated
Reports say North Korea's Kim insists on being the only Jong Un,816,unrelated
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,2389,unrelated
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",1471,discuss
Spider burrowed through tourist's stomach and up into his chest,1502,agree
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,1361,unrelated
'Nasa Confirms Earth Will Experience 6 Days of Total Darkness in December' Fake News Story Goes Viral,506,agree
"ISIS Claims Female American Hostage, Kayla Mueller, Killed in Airstrike",2260,unrelated
"Small meteorite strikes Nicaragua, government says",2330,unrelated
Saudi fatwa banning snowmen triggers heated debate,1826,unrelated
Teen Makes $72 Million on the Stock Market,313,unrelated
Michael Brown shooting audio caught on tape?,1786,unrelated
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,1223,unrelated
Scorned wife leaves love-rat husband and twin sister NAKED in car park,718,unrelated
WATCH: Twitter catches fire amid rumors of Fidel Castro’s death,2506,discuss
NYC High School Student Nicknamed ‘Teen Wolf’ Made $72 Million On Stock Market,409,unrelated
"Woman detained in Lebanon is not al-Baghdadi's wife, Iraq says",1267,discuss
An audio recording of the Michael Brown shooting has reportedly surfaced,958,unrelated
Canadian-Israeli Woman Says She Hasn’t Been Captured By ISIS,2520,unrelated
Confusion Surrounds Capture Of “ISIS Leader’s Wife”,2155,discuss
"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",2307,unrelated
‘Evil straight from the pits of hell': American journalist James Foley reportedly beheaded by ISIS,7,unrelated
Ferguson riots: audio may have captured Michael Brown shooting,132,unrelated
Boko Haram Denies Nigeria Cease-Fire Claim,2403,discuss
"No, Robert Plant Didn’t Rip Up an $800 Million Contract",2489,discuss
Ebola Frisco 2014: Patient Shows Virus Symptoms After Apparent Thomas Eric Duncan Contact,1541,unrelated
Mexican investigators fear mass grave might hold 43 missing students,1740,unrelated
India Rape Crisis Sees Mob Castrate Alleged Sex Attacker in Shocking Scenes,2106,unrelated
Christian Bale will not play Steve Jobs,296,unrelated
Reports: Boko Haram may release schoolgirls as part of deal,171,unrelated
"So, There Might Be a Rat Infestation at Vogue",1673,unrelated
This College Student Claims She Was The 'Teletubbies' Sun Baby,2371,discuss
ISIL Beheads American Photojournalist in Iraq,419,agree
"So, There Might Be a Rat Infestation at Vogue",2080,unrelated
"Absent from duty for 25 years, CPWD official dismissed",860,unrelated
This Is What The Sun Baby From ‘Teletubbies’ Looks Like Now,1832,unrelated
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,2523,unrelated
Meteorite leaves crater in Nicaraguan capital Managua,1744,unrelated
NET Extra: Back-from-the-dead Catholic priest claims God is a female,1303,disagree
Rumor debunked: RoboCop-style robots are not patrolling Microsoft's campus,2228,disagree
Ottawa shooting: Sergeant-at-arms Kevin Vickers hailed a hero for shooting rampaging gunman,1631,discuss
Soldier shot near Canadian parliament building,7,unrelated
'There is no limit to their depravity' Islamic State FEED mother her own SON,225,unrelated
Report: Christian Bale Just Bailed on the Steve Jobs Movie,1131,discuss
Insurgents killed in Nigeria despite alleged truce with Boko Haram,1761,discuss
‘Evil straight from the pits of hell': American journalist James Foley reportedly beheaded by ISIS,11,unrelated
Report: Christian Bale Drops Out Of Steve Jobs Biopic,137,unrelated
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',900,unrelated
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",344,unrelated
Not coming to a store near you: The pumpkin spice condom,1891,unrelated
ISIS Leader Killed: Abu Bakr Al-Baghdadi Reportedly Killed By U.S. Airstrike,518,unrelated
"IS Beheads Briton David Cawthorne Haines, Threatens to Execute Another Briton, Alan Henning",2473,unrelated
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",2290,unrelated
ISIS Executioner 'Jihadi John' Is Named as Mohammed Emwazi,1374,agree
Nicaragua asks U.S. for help investigating meteorite crater,1795,unrelated
"No, Vladimir Putin did not get pooped on by a bird during a First World War speech",1843,unrelated
Boy who suffered powerful electric shock claims he now has 'superpowers' like X-Men's Magneto as metal objects stick to him,2415,discuss
Meteor Leaves 40-Foot Crater Near Managua's Airport,724,unrelated
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",1681,unrelated
Robert Plant ripped up $800M Led Zeppelin reunion contract,1790,unrelated
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,1498,unrelated
Nicaragua asks U.S. for help investigating meteorite crater,1744,unrelated
"Catholic Priest Dead For 48 Minutes, Is Miraculously Revived – His Revelations About God Are Even More Shocking",1372,unrelated
"Apple Watch to Be Shower-Proof, Have 100,000 Apps at Launch: Reports",633,unrelated
Moment Michael Brown was shot dead 'caught on audio recording': FBI handed potentially damning tape of ELEVEN shots being fired - including final volley of 'kill shots',1435,unrelated
Apple Users Add Hairgate to iPhone 6 Problems,513,unrelated
Airport worker strips naked at Russian airport,1733,agree
"Tour, agent: Tiger Woods not banned",586,unrelated
"Don't forget to tip...especially if you spend $300,000",500,unrelated
UPDATE: Internet report of Ebola outbreak in Purdon not true,241,unrelated
Matt Taibbi takes a leave of absence from First Look Media,82,unrelated
Conde Nast's rat problem at One World Trade Centre: From red carpets to rodent droppings,754,unrelated
Has North Korean dictator Kim Jong-un been replaced by his sister?,195,unrelated
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,804,agree
Predator Drone Reportedly Spotted Over ISIS Hotbed in Syria; Airstrikes Hit ISIS Targets,35,unrelated
Mexico Says Students Not Among Dead in Mass Grave,1351,unrelated
A viral photo in China shows how to manipulate App Store rankings the hard way,796,unrelated
Low-level marijuana possession could soon land you a ticket instead of arrest in New York City,1192,unrelated
New ISIS Video Shows Militants Seizing Weapons Airdropped By US Near Kobani,2448,unrelated
Isilkulskom student has gained superhero powers after shock,1372,unrelated
Has Kim Yo-Jong Taken Over For Kim Jong Un? Sister Assumes North Korea State Duties While Brother Undergoes Medical Treatment,687,unrelated
[UPDATED] 11 Men and 0 Women on Tonight's ESPN Domestic Violence Panel,1210,unrelated
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,2180,discuss
Durex Is Not Making Pumpkin Spice Condoms After All: A Hoax Debunked,2354,agree
KIM JONG-UN NECKS SNAKE WINE FOR VIRILITY,2018,discuss
Matt Taibbi Disappears From Omidyar’s First Look Media,1337,unrelated
Could Kim Jong Un open a restaurant in Scotland?,1336,unrelated
Government fires employee who skipped work for 24 years,72,unrelated
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,125,unrelated
"Nun gives birth, intends to keep baby",2058,unrelated
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",1299,unrelated
Indian civil servant sacked 'after 24-year sickie',2134,agree
Missing Planes,562,unrelated
Was Heart-Tugging Viral Video Of Generous Homeless Man All A Hoax?,344,unrelated
Nigeria and Boko Haram 'agree ceasefire and girls' release',2192,unrelated
"Soldier, Gunman Killed In Shooting Incident Near Canadian Parliament",1539,agree
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2192,unrelated
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",1867,unrelated
"UPDATE: Soldier, gunman who died in Ottawa rampage identified",1569,agree
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1301,unrelated
Daash Ebola transferred to Mosul {Google Translate],1899,unrelated
Apple was forced to nix key health features from its smartwatch -- report,2379,unrelated
Has North Korean dictator Kim Jong-un been replaced by his sister?,1268,unrelated
North Korea directive reveals apparent ban on sharing Kim Jong-un’s name,1439,unrelated
Pentagon Denies It Killed ISIS Chief As Airstrikes Hit Top Extremists,170,unrelated
